our_string	ourW	ourW_md	ourW_data	their_string	theirW	binding	comparison_res_rel	our_half_ulp_rel	their_file
23.016448609458621877921135	26	25	26	23.0164486094586218779211352932298622979969451	45	OURS	5.0e-26	5.0e-26	data/code/m3_L158_survivor_pilot_result.json
1000000004998.051	16	0	16	1000000004998.80756188178421332	30	OURS	5.0e-16	5.0e-16	data/neff_1e12_population.json
1000000005002.010	16	0	16	1000000005000.06731186832276971	30	OURS	5.0e-16	5.0e-16	data/neff_1e12_population.json
49.780192509392596	17	17	17	49.78019250939258038452661436484	31	OURS	5.0e-17	5.0e-17	machine1-L176-runner-erratum-v1-reversion-defect-v2-filed.md
1.17284672477e-10	12	0	12	1.172846724773643443900395e-10	25	OURS	5.0e-12	5.0e-12	data/heat78c_census_result.json
1.49770514478e-10	12	0	12	1.497705144781316555952511e-10	25	OURS	5.0e-12	5.0e-12	data/heat78c_census_result.json
0.000184057401869	12	0	12	0.0001840574018693339913547147	25	OURS	5.0e-12	5.0e-12	data/heat78c_census_result.json
2.63088195054	12	0	12	2.630881950542403601035171	25	OURS	5.0e-12	5.0e-12	data/heat78c_census_result.json
0.000357751504884	12	0	12	0.0003577515048842091223694707	25	OURS	5.0e-12	5.0e-12	data/heat78c_census_result.json
6.97848813668e-11	12	0	12	6.978488136681017448086459e-11	25	OURS	5.0e-12	5.0e-12	data/heat78c_census_result.json
0.000922668961096	12	0	12	0.0009226689610964728299064335	25	OURS	5.0e-12	5.0e-12	data/heat78c_census_result.json
8.114599735462e-6	13	0	13	0.000008114599735462008018039773	25	OURS	5.0e-13	5.0e-13	data/heat78c_census_result.json
1.2107295795588e-5	14	14	14	0.00001210729579558758020061145	25	OURS	5.0e-14	5.0e-14	data/heat78c_census_result.json
1.4377138564892e-5	14	14	14	0.00001437713856489166167695232	25	OURS	5.0e-14	5.0e-14	data/heat78c_census_result.json
1.4397210826966e-5	14	14	14	0.00001439721082696599521253364	25	OURS	5.0e-14	5.0e-14	data/heat78c_census_result.json
1.8018301158367e-5	14	14	14	0.00001801830115836709886663325	25	OURS	5.0e-14	5.0e-14	data/heat78c_census_result.json
2.1937050676173e-5	14	14	14	0.00002193705067617256230082608	25	OURS	5.0e-14	5.0e-14	data/heat78c_census_result.json
2.8927588092107e-5	14	0	14	0.00002892758809210686333767559	25	OURS	5.0e-14	5.0e-14	data/heat78c_census_result.json
4.6899998805286e-5	14	0	14	0.00004689999880528637744855382	25	OURS	5.0e-14	5.0e-14	data/heat78c_census_result.json
8.5081584629334e-6	14	14	14	0.000008508158462933445610080931	25	OURS	5.0e-14	5.0e-14	data/heat78c_census_result.json
9.8755448108413e-6	14	0	14	0.000009875544810841322682424377	25	OURS	5.0e-14	5.0e-14	data/heat78c_census_result.json
0.14142135623730950488	20	0	20	0.141421356237309504880168872421	30	OURS	5.0e-20	5.0e-20	data/code/machine1_heat72v_cycle19_crosscheck.out
0.5093769930086969722036136	25	0	25	0.50937699300869697220361357049523983	35	OURS	5.0e-25	5.0e-25	data/letter103_dpair_results.json
0.5187711462594309281627682	25	0	25	0.51877114625943092816276820377035889	35	OURS	5.0e-25	5.0e-25	letter104-astra-pa-analytic-law-verified-fresh-point-2026-09-04.md
0.5675497245010190350244251	25	20	25	0.56754972450101903502442507198927421	35	OURS	5.0e-25	5.0e-25	data/letter103_dpair_results.json
7.955817397136652e-6	16	14	16	0.000007955817397136651775776381	25	OURS	5.0e-16	5.0e-16	data/heat78c_census_result.json
6700.34193883	12	0	12	6700.3419388319087594	20	OURS	5.0e-12	5.0e-12	data/machine1_heat72w_kappa_a3.out
0.142857142857142857142857142857	30	0	30	0.142857142857142891395415685084185024	36	OURS	5.0e-30	5.0e-30	data/heat72_birth_locus.results.json
19.300211014512339692	20	0	20	19.300211014512339692085673	26	OURS	5.0e-20	5.0e-20	data/machine1_heat76b_c4_dps45.out
0.20542472469850912805	20	20	20	0.2054247246985091280544925	25	OURS	5.0e-20	5.0e-20	data/code/machine1_heat72v_cycle19_crosscheck.out
2.64552114397652	15	0	15	2.6455211439765270943	20	OURS	5.0e-15	5.0e-15	data/code/machine1_deriv_recheck.py
46.250871781073	14	0	14	46.25087178107259965	19	OURS	5.0e-14	5.0e-14	data/machine1_heat76_s3_scan.json
4.7342065079869002403e-6	20	14	20	0.000004734206507986900240276594	25	OURS	5.0e-20	5.0e-20	data/heat78c_census_result.json
7.3380367864528e-6	14	0	14	7.3380367864527836e-6	17	OURS	5.0e-14	5.0e-14	data/machine1_heat76b_c4_dps45.out
11.7007173164027646	18	18	18	11.700717316402764594	20	OURS	5.0e-18	5.0e-18	data/machine1_l171_c30_refit.out
11.7007173174123915	18	17	18	11.700717317412391509	20	OURS	5.0e-18	5.0e-18	data/machine1_l171_c30_refit.out
